CODIGO,CODIGO VF,DESCRIPCION,PROVEEDOR,COMPRADOR,TÉRMINOS DE PAGO,DÍAS DE PAGO,MOQ,Lead Time/ días,UDM,Precio,Totales Requeridos Semana N,Inventario Inicial,WIP,Recepciones,Recepciones Monto,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico con recepciones de la semana,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+1,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+2,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+3,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+4,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+5,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Categoría,ESTATUS
TAPAFLIP28,TAPAFLIP28,TAPA FLIP TOP R28,JONATHAN ALFREDO ESPARZA,JOSE,,,,15,Kg,$0.39,"38,834.00","77,979",-,-,-,-,Fincar,"35,855","150,000","114,145.00","225,000","75,000","$29,250.00",-,"39,145",-,Fincar,"35,855","150,000","114,145.00","225,000",-,$-,-,"39,145",-,Fincar,"35,855","150,000","114,145.00","225,000",-,$-,"37,500","39,145",-,Ok,-,"150,000","151,645.00","225,000","75,000","$29,250.00","37,500","1,645","35,855",Fincar,"35,855","150,000","114,145.00","225,000",-,$-,"37,500",-,"37,500",Fincar,"73,355","150,000","76,645.00","225,000",-,TAPA,ACTIVO
ASA48MMBLA,COMP_ASA,ASA 48 MM BLANCA,ECAP SA DE CV,JOSE,Crédito,30,"100,000",15,Pza,$0.36,"37,660.00","289,000",-,-,-,-,Ok,-,"207,000","451,340.00","310,500","200,000","$72,000.00","61,586","251,340",-,Ok,-,"207,000","389,754.00","310,500",-,$-,"52,625","189,754",-,Ok,-,"207,000","537,129.00","310,500","200,000","$72,000.00","51,750","137,129",-,Ok,-,"207,000","485,379.00","310,500",-,$-,"51,750","85,379",-,Ok,-,"207,000","433,629.00","310,500",-,$-,"51,750","33,629","18,121",Ok,-,"207,000","381,879.00","310,500",-,TAPA,ACTIVO
TAPA48MMBL,COMP_TAPA45,TAPA 48 MM INVIOLABLE BLANCA,ECAP SA DE CV,JOSE,Crédito,30,"100,000",15,Pza,$0.48,"37,660.00","261,000",-,-,-,-,Ok,-,"207,000","423,340.00","310,500","200,000","$95,000.00","61,586","223,340",-,Ok,-,"207,000","361,754.00","310,500",-,$-,"52,625","161,754",-,Ok,-,"207,000","489,129.00","310,500","180,000","$85,500.00","51,750","109,129",-,Ok,-,"207,000","437,379.00","310,500",-,$-,"51,750","57,379",-,Ok,-,"207,000","385,629.00","310,500",-,$-,"51,750","5,629","46,121",Ok,-,"207,000","333,879.00","310,500",-,TAPA,ACTIVO
TAPACIER28,TAPACIER28,TAPA CIEGA NATURAL R28,ECAP SA DE CV,JOSE,Crédito,30,"100,000",15,Pza,$0.21,"63,008.00","335,000","29,000",-,-,-,Ok,-,"300,000","521,992.00","450,000","250,000","$53,125.00","82,008","271,992",-,Ok,-,"300,000","439,984.00","450,000",-,$-,"72,032","189,984",-,Ok,-,"300,000","557,952.00","450,000","190,000","$40,375.00","75,000","117,952",-,Ok,-,"300,000","482,952.00","450,000",-,$-,"75,000","42,952","32,048",Ok,-,"300,000","407,952.00","450,000",-,$-,"75,000",-,"75,000",Ok,-,"300,000","332,952.00","450,000",-,TAPA,ACTIVO
TPR28AZLIN,TPR28AZLIN,TAPA R28 400 AZUL LINERLESS,ECAP SA DE CV,JOSE,Crédito,30,"100,000",15,Pza,$0.19,"154,765.00","730,000",-,-,-,-,Ok,-,"500,000","975,235.00","750,000","400,000","$76,000.00","119,050","575,235",-,Ok,-,"500,000","856,185.00","750,000",-,$-,"130,955","456,185",-,Ok,-,"500,000","945,230.00","750,000","220,000","$41,800.00","125,000","325,230",-,Ok,-,"500,000","820,230.00","750,000",-,$-,"125,000","200,230",-,Ok,-,"500,000","695,230.00","750,000",-,$-,"125,000","75,230","49,770",Ok,-,"500,000","570,230.00","750,000",-,TAPA,ACTIVO
TAPAR28QMA,TAPAR28QMA,TAPA R28 P QUITAM,ECAP SA DE CV,JOSE,,,,15,Pza,$0.20,-,"120,000",-,-,-,-,Ok,-,"30,000","120,000.00","45,000",-,$-,-,"120,000",-,Ok,-,"30,000","120,000.00","45,000",-,$-,"19,802","120,000",-,Ok,-,"30,000","100,198.00","45,000",-,$-,"7,500","100,198",-,Ok,-,"30,000","92,698.00","45,000",-,$-,"7,500","92,698",-,Ok,-,"30,000","85,198.00","45,000",-,$-,"7,500","85,198",-,Ok,-,"30,000","77,698.00","45,000",-,TAPA,ACTIVO
TAPAR28NAR,TAPAR28NAR,TAPA R28 400 LINERLESS NARANJA,ECAP SA DE CV,JOSE,,,,15,Pza,$0.19,-,"166,850",-,-,-,-,Ok,-,"79,800","166,850.00","119,700",-,$-,-,"166,850",-,Ok,-,"79,800","166,850.00","119,700",-,$-,-,"166,850",-,Ok,-,"79,800","166,850.00","119,700",-,$-,"19,950","166,850",-,Ok,-,"79,800","146,900.00","119,700",-,$-,"19,950","146,900",-,Ok,-,"79,800","126,950.00","119,700",-,$-,"19,950","126,950",-,Ok,-,"79,800","107,000.00","119,700",-,TAPA,ACTIVO
TAPAR48INV,TAPAR48INV,TAPA R48 INV VERDE,ECAP SA DE CV,JOSE,,,,15,Pza,$-,-,-,-,-,-,-,Ok,-,-,-,-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,"50,000",$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,TAPA,ACTIVO
ASA48VERDE,ASA48VERDE,ASA 48 MM VERDE,ECAP SA DE CV,JOSE,,,,15,Pza,$-,-,-,-,-,-,-,Ok,-,-,-,-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,"50,000",$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,TAPA,ACTIVO
NONILIF10M,COMP_NONIL,NONIL FENOL 10 MOL,TRADE CHEMICALS & PRODUCTS,MAJO,Anticipo,30,220,15,Kg,$42.00,218,"4,409",125,-,-,-,Ok,-,"4,099","7,151.00","6,149","2,960","$124,320.00","1,038","4,191",-,Ok,-,"4,099","6,112.70","6,149",-,$-,"1,059","3,153",-,Ok,-,"4,099","5,053.70","6,149",-,$-,"1,025","2,094",-,Fincar,70,"4,099","4,028.87","6,149",-,$-,"1,025","1,069",-,Fincar,"1,095","4,099","3,004.04","6,149",-,$-,"1,025",44,981,Fincar,"2,120","4,099","1,979.21","6,149",-,QUÍMICOS,ACTIVO
ACIDOLACTI,COMP_ACIDLACTI,ÁCIDO LÁCTICO 88,TRADE CHEMICALS & PRODUCTS,MAJO,Adelantado,30,157,15,Kg,$2.51,25,133,-,-,-,-,Ok,-,107,107.5,161,-,$-,50,108,-,Fincar,50,107,57.5,161,-,$-,-,58,-,Fincar,50,107,57.5,161,-,$-,27,58,-,Fincar,76,107,30.73,161,-,$-,27,31,-,Fincar,103,107,3.95,161,-,$-,27,4,23,Fincar,107,107,-,161,-,QUÍMICOS,ACTIVO
TAPAR28CIN,TAPAR28CIN,TAPA R28 C/ CINTILLO SEGUR,PET DE OCCIDENTE S.A DE C.V,JOVANY,,,,15,Pza,$0.25,"14,886.00","15,054","20,650",-,-,-,Ok,-,"128,000","180,168.00","192,000","180,000","$44,820.00","35,536",168,"35,368",Ok,-,"128,000","144,632.00","192,000",-,$-,"17,768",-,"17,768",Fincar,"1,136","128,000","126,864.00","192,000",-,$-,"32,000",-,"32,000",Fincar,"33,136","128,000","94,864.00","192,000",-,$-,"32,000",-,"32,000",Fincar,"65,136","128,000","62,864.00","192,000",-,$-,"32,000",-,"32,000",Fincar,"97,136","128,000","30,864.00","192,000",-,TAPA,ACTIVO
TARROPET1K,TARROPET1K,TARRO PET TRANSP 1Kg,PET DE OCCIDENTE S.A DE C.V,JOVANY,,,,15,Pza,$-,-,-,-,-,-,-,Ok,-,-,"50,000.00",-,"50,000",$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,TAPA,ACTIVO
TAPAR110VE,TAPAR110VE,TAPA R110 VERDE,PET DE OCCIDENTE S.A DE C.V,JOVANY,,,,15,Pza,$-,-,-,-,-,-,-,Ok,-,-,"50,000.00",-,"50,000",$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,$-,-,-,-,Ok,-,-,"50,000.00",-,-,TAPA,ACTIVO
ALCOHOETET,COMP_ETILICO,ALCOHOL ETILICO DEO,POCHTECA MATERIAS PRIMAS SA DE CV,ADAN,Adelantado,-,200,8,Lts,$23.95,-,"1,196",-,-,-,-,Ok,-,583,"1,195.74",933,-,$-,110,"1,196",-,Ok,-,583,"1,085.74",933,-,$-,110,"1,086",-,Ok,-,583,975.74,933,-,$-,117,976,-,Ok,-,583,859.09,933,-,$-,117,859,-,Ok,-,583,742.43,933,-,$-,117,742,-,Ok,-,583,625.78,933,-,QUÍMICOS,ACTIVO
ALCOISOPOC,COMP_ALCOHOL,ALCOHOL ISOPROPILICO,POCHTECA MATERIAS PRIMAS SA DE CV,ADAN,Adelantado,-,200,8,Kg,$24.94,-,957,-,-,-,-,Ok,-,671,957.26,"1,006",-,$-,400,957,-,Fincar,113,671,557.26,"1,006",-,$-,200,557,-,Fincar,313,671,357.26,"1,006",-,$-,168,357,-,Fincar,481,671,189.6,"1,006",-,$-,168,190,-,Fincar,649,671,21.94,"1,006",-,$-,168,22,146,Fincar,671,671,-,"1,006",-,QUÍMICOS,ACTIVO
BUTILCELPO,COMP_BUTILLCELL,BUTILL CELLOSOLVE,POCHTECA MATERIAS PRIMAS SA DE CV,ADAN,Adelantado,30,358,8,Kg,$40.59,-,579,-,-,-,-,Ok,-,503,578.89,754,-,$-,200,579,-,Fincar,124,503,378.89,754,-,$-,100,379,-,Fincar,224,503,278.89,754,-,$-,84,279,-,Fincar,308,503,195.06,754,-,$-,84,195,-,Fincar,392,503,111.23,754,-,$-,84,111,-,Fincar,476,503,27.4,754,-,QUÍMICOS,ACTIVO
PERCLOEPOC,COMP_PERCLORO,PERCLORO ETILENO,POCHTECA MATERIAS PRIMAS SA DE CV,ADAN,Adelantado,30,157,8,Kg,$30.10,-,449,-,-,-,-,Ok,-,255,449,382,-,$-,60,449,-,Ok,-,255,389,382,-,$-,60,389,-,Ok,-,255,329,382,-,$-,64,329,-,Ok,-,255,265.37,382,-,$-,64,265,-,Fincar,53,255,201.74,382,-,$-,64,202,-,Fincar,116,255,138.11,382,-,QUÍMICOS,ACTIVO
SEMTERMACI,SEMTERMACI,ÁCIDO ACETICO LIQ (30%),POCHTECA MATERIAS PRIMAS SA DE CV,SANDRO,,,,15,Kg,$-,"5,550.00",-,"2,520","15,000.00",-,"5,550",Fincar,"19,667","29,117","9,450.00","43,675",-,$-,"11,100","9,450","1,650",Fincar,"29,117","29,117",-,"43,675",-,$-,"8,580",-,"8,580",Fincar,"29,117","29,117",-,"43,675",-,$-,"7,279",-,"7,279",Fincar,"29,117","29,117",-,"43,675",-,$-,"7,279",-,"7,279",Fincar,"29,117","29,117",-,"43,675",-,$-,"7,279",-,"7,279",Fincar,"29,117","29,117",-,"43,675",-,QUÍMICOS,ACTIVO
ANTIFOMSLE,ANTIFOMSLE,AGENTES ANTI-ESPUMA,PROVISTA SA DE CV,CLARA,Adelantado,-,555,15,Kg,$67.08,30,190,-,-,-,-,Ok,-,128,160.3,192,-,$-,38,160,-,Fincar,5,128,122.8,192,-,$-,38,123,-,Ok,-,128,285.3,192,200,"$13,416.00",32,85,-,Ok,-,128,253.3,192,-,$-,32,53,-,Ok,-,128,221.3,192,-,$-,32,21,11,Ok,-,128,189.3,192,-,QUÍMICOS,ACTIVO
GLICERINAA,GLICERINAA,GLICERINA,SYRSA QUIMICOS DE MEXICO,JOSE,Adelantado,30,157,10,Kg,$1.60,338,"1,008",12,-,-,-,Fincar,685,"1,355",670,"2,032",-,$-,52,670,-,Ok,-,"1,355","2,368.00","2,032","1,750","$2,800.00",38,618,-,Ok,-,"1,355","2,330.00","2,032",-,$-,339,580,-,Ok,-,"1,355","1,991.31","2,032",-,$-,339,241,97,Ok,-,"1,355","1,652.62","2,032",-,$-,339,-,339,Fincar,41,"1,355","1,313.93","2,032",-,QUÍMICOS,ACTIVO
FLOSOFT222,FLOSOFT222,FLOSOFT 222,SNF FLOERGER SA DE CV,CLARA,Anticipo,-,"1,000",15,Kg,$129.00,90,908,-,-,-,-,Ok,-,384,817.5,576,-,$-,113,818,-,Ok,-,384,705,576,-,$-,113,705,-,Ok,-,384,592.5,576,-,$-,96,593,-,Ok,-,384,496.5,576,-,$-,96,497,-,Ok,-,384,400.5,576,-,$-,96,401,-,Fincar,80,384,304.5,576,-,QUÍMICOS,ACTIVO
STEPANTEXH,STEPANTEXH,STEPANTEX THD-88E,STEPAN MEXICO SA DE CV,JOSE,Anticipo,30,"1,000",15,Kg,$52.80,"1,200.00","4,678",-,-,-,-,Ok,-,"5,120","7,078.00","6,400","3,600","$190,094.40","1,500","3,478",-,Ok,-,"5,120","9,178.00","6,400","3,600","$190,094.40","1,500","1,978",-,Ok,-,"5,120","7,678.00","6,400",-,$-,"1,280",478,802,Ok,-,"5,120","9,998.00","6,400","3,600","$190,094.40","1,280",-,"1,280",Ok,-,"5,120","8,718.00","6,400",-,$-,"1,280",-,"1,280",Ok,-,"5,120","11,038.00","6,400","3,600",QUÍMICOS,ACTIVO
ACEITEPINO,COMP_ACEITE,ACEITE DE PINO 55,TALOQUIMIA SA DE CV,JOSE,Anticipo,-,555,15,Kg,$95.50,200,"1,920",100,-,-,-,Ok,-,"1,698","1,720.00","2,548",-,$-,400,"1,720",-,Fincar,378,"1,698","1,320.00","2,548",-,$-,500,"1,320",-,Ok,-,"1,698","3,020.00","2,548","2,200","$210,100.00",425,820,-,Ok,-,"1,698","2,595.38","2,548",-,$-,425,395,29,Ok,-,"1,698","2,170.75","2,548",-,$-,425,-,425,Ok,-,"1,698","1,746.13","2,548",-,QUÍMICOS,ACTIVO
MICROCAREC,MICROCAREC,MICROCARE CB,THOR QUIMICOS DE MEXICO S.A. DE C.V.,MAJO,Anticipo,30,"1,000",15,Kg,$4.30,48,276,12,-,-,-,Ok,-,196,227.5,294,-,$-,12,228,-,Ok,-,196,215.5,294,-,$-,18,216,-,Ok,-,196,197.5,294,-,$-,49,198,-,Ok,-,196,198.53,294,50,$215.00,49,149,-,Fincar,46,196,149.56,294,-,$-,49,100,-,Fincar,95,196,100.59,294,-,QUÍMICOS,ACTIVO
ACTICIDEMV,ACTICIDEMV,ACTICIDE MV 10,THOR QUIMICOS DE MEXICO S.A. DE C.V.,MAJO,Anticipo,30,"1,000",15,Kg,$34.40,188,"1,679",104,-,-,-,Ok,-,"1,390","1,490.50","2,085",-,$-,412,"1,491",-,Fincar,311,"1,390","1,078.38","2,085",-,$-,344,"1,078",-,Fincar,655,"1,390",734.38,"2,085",-,$-,347,734,-,Fincar,3,"1,390","1,386.96","2,085","1,000","$34,400.00",347,387,-,Fincar,350,"1,390","1,039.55","2,085",-,$-,347,40,308,Fincar,698,"1,390",692.13,"2,085",-,QUÍMICOS,ACTIVO
PEROXIDOHI,PEROXIDOHI,PEROXIDO DE HIDROGENO 50%,PEROXIQUIMICOS,SANDRO,Contado,,"1,000",15,Kg,$12.56,-,"2,152",-,-,-,-,Ok,-,"1,212","2,152.00","1,818",-,$-,-,"2,152",-,Ok,-,"1,212","2,152.00","1,818",-,$-,800,"2,152",-,Ok,-,"1,212","1,352.00","1,818",-,$-,303,"1,352",-,Fincar,163,"1,212","1,049.00","1,818",-,$-,303,"1,049",-,Fincar,466,"1,212",746,"1,818",-,$-,303,746,-,Fincar,769,"1,212",443,"1,818",-,QUÍMICOS,ACTIVO
TAPAK28FLT,TAPAK28FLT,TAPA K 28/410 FLIP TOP,COMERCIALIZADORA CELIKMA SA DE CV,JOVANY,Adelantado,30,157,15,Kg,$0.50,"19,608.00","96,600",-,"67,300.00","33,650.00",-,Ok,-,"79,600","144,292.00","119,400",-,$-,"19,608","144,292",-,Ok,-,"79,600","124,684.00","119,400",-,$-,"19,608","124,684",-,Ok,-,"79,600","105,076.00","119,400",-,$-,"19,900","105,076",-,Ok,-,"79,600","85,176.00","119,400",-,$-,"19,900","85,176",-,Ok,-,"79,600","135,276.00","119,400","70,000","$35,000.00","19,900","65,276",-,Ok,-,"79,600","115,376.00","119,400",-,TAPA,ACTIVO
VALVUDOSNA,COMP_VALVUDOSIF,VÁLVULA DOSIF 28/410 BLANCA,COMERCIALIZADORA CELIKMA SA DE CV,JOVANY,Crédito,30,"100,000",15,Pza,$1.72,"19,608.00","140,000",-,-,-,-,Ok,-,"84,000","120,392.00","126,000",-,$-,"39,216","120,392",-,Ok,-,"84,000","241,176.00","126,000","160,000","$275,200.00",-,"81,176",-,Ok,-,"84,000","541,176.00","126,000","300,000","$516,000.00","21,000","81,176",-,Ok,-,"84,000","520,176.00","126,000",-,$-,"21,000","60,176",-,Ok,-,"84,000","499,176.00","126,000",-,$-,"21,000","39,176",-,Ok,-,"84,000","478,176.00","126,000",-,TAPA,ACTIVO
ETQFRLAV75,COMP_LAVT750,ET FT/RV LAVT LIMON BC 750ML,GRUPO ETS,JOVANY,Crédito,30,"223,000",15,Pza,$0.31,"13,608.00","63,000","6,000",-,-,-,Fincar,"25,588","79,600","54,012.00","119,400","4,620","$1,432.57","19,608","49,392",-,Fincar,"45,196","79,600","34,404.00","119,400",-,$-,"19,608","29,784",-,Ok,-,"79,600","174,796.00","119,400","160,000","$49,612.80","19,900","10,176","9,724",Ok,-,"79,600","154,896.00","119,400",-,$-,"19,900",-,"19,900",Ok,-,"79,600","134,996.00","119,400",-,$-,"19,900",-,"19,900",Ok,-,"79,600","115,096.00","119,400",-,ETIQUETA,ACTIVO
ETQFRLVT15,COMP_LAVT15,ETIQ FTE/REV LAVAT BC 1.5L,GRUPO ETS,JOVANY,Crédito,60,"50,000",15,Pza,$0.37,"9,804.00","38,600",-,-,-,-,Fincar,"13,204","42,000","28,796.00","63,000",-,$-,"9,804","28,796",-,Fincar,"23,008","42,000","18,992.00","63,000",-,$-,"9,804","18,992",-,Ok,-,"42,000","109,188.00","63,000","100,000","$37,000.00","10,500","9,188","1,312",Ok,-,"42,000","98,688.00","63,000",-,$-,"10,500",-,"10,500",Ok,-,"42,000","88,188.00","63,000",-,$-,"10,500",-,"10,500",Ok,-,"42,000","77,688.00","63,000",-,ETIQUETA,ACTIVO
ETIQFTQUITA,ETIQFTQUITA,ETIQ FTE QUITAM 500 ML,ETIVAL SA DE CV,JOVANY,,,,30,Pza,$0.30,-,"140,000",-,-,-,-,Ok,-,"30,000","140,000.00","45,000",-,$-,-,"140,000",-,Ok,-,"30,000","140,000.00","45,000",-,$-,"19,802","140,000",-,Ok,-,"30,000","120,198.00","45,000",-,$-,"7,500","120,198",-,Ok,-,"30,000","112,698.00","45,000",-,$-,"7,500","112,698",-,Ok,-,"30,000","105,198.00","45,000",-,$-,"7,500","105,198",-,Ok,-,"30,000","97,698.00","45,000",-,ETIQUETA,ACTIVO
ETIQRVQUITA,ETIQRVQUITA,ETIQ RV QUITAM 500 ML,ETIVAL SA DE CV,JOVANY,,,,30,Pza,$0.30,-,"137,500",-,-,-,-,Ok,-,"30,000","137,500.00","45,000",-,$-,-,"137,500",-,Ok,-,"30,000","137,500.00","45,000",-,$-,"19,802","137,500",-,Ok,-,"30,000","117,698.00","45,000",-,$-,"7,500","117,698",-,Ok,-,"30,000","110,198.00","45,000",-,$-,"7,500","110,198",-,Ok,-,"30,000","102,698.00","45,000",-,$-,"7,500","102,698",-,Ok,-,"30,000","95,198.00","45,000",-,ETIQUETA,ACTIVO
ETQVINAGLI,ETQVINAGLI,ETIQ VINAGRE DE LIMPIEZA BC 1L,ETIFLEX SA DE CV,JOVANY,,,,30,Pza,$0.37,"17,808.00","120,000","2,092","252,000.00","94,374.00",-,Ok,-,"72,000","354,192.00","108,000",-,$-,"39,800","354,192",-,Ok,-,"72,000","314,392.00","108,000",-,$-,"39,800","314,392",-,Ok,-,"72,000","274,592.00","108,000",-,$-,"18,000","274,592",-,Ok,-,"72,000","256,592.00","108,000",-,$-,"18,000","256,592",-,Ok,-,"72,000","238,592.00","108,000",-,$-,"18,000","238,592",-,Ok,-,"72,000","220,592.00","108,000",-,ETIQUETA,ACTIVO
ETQVINAGCO,ETQVINAGCO,ETIQ VINAGRE COMEST BC 1.1L,ETIFLEX SA DE CV,JOVANY,Crédito,60,"200,000",30,Pza,$0.45,"8,436.00","7,500","27,100","180,000.00","80,910.00",936,Ok,-,"128,000","359,064.00","192,000","180,000",$-,"35,536","179,064",-,Ok,-,"128,000","323,528.00","192,000",-,,"17,768","143,528",-,Ok,-,"128,000","305,760.00","192,000",-,,"32,000","125,760",-,Ok,-,"128,000","273,760.00","192,000",-,,"32,000","93,760",-,Ok,-,"128,000","241,760.00","192,000",-,,"32,000","61,760",-,Ok,-,"128,000","209,760.00","192,000",-,ETIQUETA,ACTIVO
ETIQGELFAM,ETIQGELFAM,ETIQ GEL CABELLO FAMILIAR,ETIFLEX SA DE CV,JOVANY,Crédito,60,"50,000",30,Pza,$0.24,"19,415.00","150,000","16,585",-,-,-,Ok,-,"88,000","130,585.00","132,000",-,$-,"12,000","130,585",-,Ok,-,"88,000","284,585.00","132,000","166,000","$39,204.22","24,000","118,585",-,Ok,-,"88,000","260,585.00","132,000",-,$-,"22,000","94,585",-,Ok,-,"88,000","238,585.00","132,000",-,$-,"22,000","72,585",-,Ok,-,"88,000","216,585.00","132,000",-,$-,"22,000","50,585",-,Ok,-,"88,000","194,585.00","132,000",-,ETIQUETA,ACTIVO
ETIQGELMEN,ETIQGELMEN,ETIQ GEL CABELLO MEN,ETIFLEX SA DE CV,JOVANY,Crédito,60,"50,000",30,Pza,$0.26,"24,000.00","153,743",-,-,-,-,Ok,-,"72,000","129,743.00","108,000",-,$-,"12,000","129,743",-,Ok,-,"72,000","283,743.00","108,000","166,000","$43,160.00","12,000","117,743",-,Ok,-,"72,000","271,743.00","108,000",-,$-,"18,000","105,743",-,Ok,-,"72,000","253,743.00","108,000",-,$-,"18,000","87,743",-,Ok,-,"72,000","235,743.00","108,000",-,$-,"18,000","69,743",-,Ok,-,"72,000","217,743.00","108,000",-,ETIQUETA,ACTIVO
ETQFTRVMAN,ETQFTRVMAN,ETIQ FTE/RV SH MANZANA 750 mL,ETIFLEX SA DE CV,JOVANY,Crédito,60,"50,000",30,Pza,$0.99,"19,417.00","28,000",-,"56,000.00","55,423.20",-,Ok,-,"50,000","64,583.00","75,000",-,$-,-,"64,583",-,Ok,-,"50,000","64,583.00","75,000",-,$-,-,"64,583",-,Ok,-,"50,000","64,583.00","75,000",-,$-,"12,500","64,583",-,Ok,-,"50,000","52,083.00","75,000",-,$-,"12,500","52,083",-,Fincar,"10,417","50,000","39,583.00","75,000",-,$-,"12,500","39,583",-,Fincar,"22,917","50,000","27,083.00","75,000",-,ETIQUETA,ACTIVO
ETQFTRVSHH,ETQFTRVSHH,ETIQ FTE/RV SH HERBAL 750 Ml,ETIFLEX SA DE CV,JOVANY,Crédito,60,"50,000",30,Pza,$0.99,"19,417.00","24,000",-,"64,000.00","63,340.80",-,Ok,-,"50,000","68,583.00","75,000",-,$-,-,"68,583",-,Ok,-,"50,000","68,583.00","75,000",-,$-,-,"68,583",-,Ok,-,"50,000","68,583.00","75,000",-,$-,"12,500","68,583",-,Ok,-,"50,000","56,083.00","75,000",-,$-,"12,500","56,083",-,Fincar,"6,417","50,000","43,583.00","75,000",-,$-,"12,500","43,583",-,Fincar,"18,917","50,000","31,083.00","75,000",-,ETIQUETA,ACTIVO
ETQFTRVSHM,ETQFTRVSHM,ETIQ FTE/RV SH MIEL Y MANZ 750ML,ETIFLEX SA DE CV,JOVANY,Crédito,60,"50,000",30,Pza,$0.99,-,"10,000",-,"80,000.00","79,176.00",-,Ok,-,"50,000","90,000.00","75,000",-,$-,-,"90,000",-,Ok,-,"50,000","90,000.00","75,000",-,$-,-,"90,000",-,Ok,-,"50,000","90,000.00","75,000",-,$-,"12,500","90,000",-,Ok,-,"50,000","77,500.00","75,000",-,$-,"12,500","77,500",-,Ok,-,"50,000","65,000.00","75,000",-,$-,"12,500","65,000",-,Ok,-,"50,000","52,500.00","75,000",-,ETIQUETA,ACTIVO
ETQMULPI1L,ETQMULPI1L,C ETIQUETA LIMP AC PINO BEST CHOISE 1L,ETIVAL SA DE CV,JOVANY,Crédito,60,"110,000",30,Pza,$0.36,"8,950.00","56,000","1,000",-,-,-,Fincar,"24,950","72,000","47,050.00","108,000",-,$-,"19,900","47,050",-,Ok,-,"72,000","167,150.00","108,000","140,000","$50,400.00","19,900","27,150",-,Ok,-,"72,000","147,250.00","108,000",-,$-,"18,000","7,250","10,750",Ok,-,"72,000","129,250.00","108,000",-,$-,"18,000",-,"18,000",Ok,-,"72,000","111,250.00","108,000",-,$-,"18,000",-,"18,000",Ok,-,"72,000","93,250.00","108,000",-,ETIQUETA,ACTIVO
ETQLAVOP1E,ETQLAVOP1E,ETIQ MULT LAVANDA OPP 1L,ETIFLEX SA DE CV,JOVANY,Crédito,60,"272,000",30,Pza,$0.25,"27,186.00","18,000","12,714","288,000.00","71,193.60","9,186",Ok,-,"96,000","278,814.00","144,000",-,$-,"19,950","278,814",-,Ok,-,"96,000","258,864.00","144,000",-,$-,"19,950","258,864",-,Ok,-,"96,000","238,914.00","144,000",-,$-,"24,000","238,914",-,Ok,-,"96,000","214,914.00","144,000",-,$-,"24,000","214,914",-,Ok,-,"96,000","190,914.00","144,000",-,$-,"24,000","190,914",-,Ok,-,"96,000","166,914.00","144,000",-,ETIQUETA,ACTIVO
