CODIGO,CODIGO VF,DESCRIPCION,PROVEEDOR,COMPRADOR,TÉRMINOS DE PAGO,DÍAS DE PAGO,MOQ,Lead Time/ días,UDM,Precio,Totales Requeridos Semana N,Inventario Inicial,WIP,Recepciones,Recepciones Monto,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico con recepciones de la semana,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+1,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+2,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+3,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+4,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Compras pre autorizadas por en transito finanzas (Monto),Totales Requeridos N+5,Inventarios al 9 de mayo2026,Por Comprar,OC x fincar,Compra req para tener el Min,Min/Optimo,Inventario teorico acumulado con OC PP,Max/Optimo,Compras pre autorizadas por finanzas en transito,Categoría,ESTATUS
LINERCR120,LINERCR120,LINER DE CARTÓN 1.20 X 1.00,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,Crédito,60,"1,000",8,Pza,$14.01,"1,360.00","5,639",-,-,-,-,Ok,-,"2,763","5,479.00","4,144","1,200","$16,812.00","1,395","4,279",-,Ok,-,"2,763","4,083.82","4,144",-,$-,"1,345","2,884",-,Fincar,24,"2,763","2,738.82","4,144",-,$-,"1,381","1,539",-,Fincar,"1,405","2,763","1,357.39","4,144",-,$-,"1,381",157,"1,224",Fincar,"2,763","2,763",-,"4,144",-,$-,"1,381",-,"1,381",Fincar,"2,763","2,763",-,"4,144",-,CORRUGADO,ACTIVO
CRRMASCOT1,CRRMASCOT1,CORR MASCOTAS 1L,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,,,,8,Pza,$9.60,-,"6,559",-,-,-,-,Ok,-,"3,325","6,559.00","4,987",-,$-,-,"6,559",-,Ok,-,"3,325","6,559.00","4,987",-,$-,-,"6,559",-,Ok,-,"3,325","6,559.00","4,987",-,$-,"1,662","6,559",-,Ok,-,"3,325","4,896.64","4,987",-,$-,"1,662","4,897",-,Fincar,90,"3,325","3,234.28","4,987",-,$-,"1,662","3,234",-,Fincar,"1,753","3,325","1,571.92","4,987",-,CORRUGADO,ACTIVO
CRRQUITAMA,CRRQUITAMA,CRR QUITAM BC 500 ML 12 PZS,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,,,,8,Pza,$6.11,-,"3,974",-,-,-,-,Ok,-,"1,250","3,974.00","1,875",-,$-,-,"3,974",-,Ok,-,"1,250","3,974.00","1,875",-,$-,"1,650","3,974",-,Ok,-,"1,250","2,324.00","1,875",-,$-,625,"2,324",-,Ok,-,"1,250","1,699.06","1,875",-,$-,625,"1,699",-,Fincar,176,"1,250","1,074.13","1,875",-,$-,625,"1,074",-,Fincar,801,"1,250",449.19,"1,875",-,CORRUGADO,ACTIVO
CRRVINAGCO,CRRVINAGCO,CORR VINAGRE BCO COMEST BC 1.01 12 PZ,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,,,,8,Pza,$7.44,"2,805.00","15,675","1,717",-,-,-,Ok,-,"8,144","12,870.00","12,216",-,$-,"4,522","12,870",-,Ok,-,"8,144","8,348.00","12,216",-,$-,"2,261","8,348",-,Fincar,"2,057","8,144","6,087.00","12,216",-,$-,"4,072","6,087",-,Fincar,"6,129","8,144","2,014.96","12,216",-,$-,"4,072","2,015","2,057",Fincar,"8,144","8,144",-,"12,216",-,$-,"4,072",-,"4,072",Fincar,"8,144","8,144",-,"12,216",-,CORRUGADO,ACTIVO
CRRVINAGLI,CRRVINAGLI,CORR VINAGRE LIMPIEZA BC AL 12PZ,CARTO EMPAQUES DEL CENTRO SA DE CV,CLARA,,,,8,Pza,$9.20,"1,226.00","7,772",432,-,-,-,Ok,-,"2,999","7,546.00","4,499","1,000","$9,197.00","3,316","6,546",-,Ok,-,"2,999","4,230.00","4,499",-,$-,"3,316","3,230",86,Fincar,"2,085","2,999",914,"4,499",-,$-,"1,500",-,"1,500",Fincar,"2,999","2,999",-,"4,499",-,$-,"1,500",-,"1,500",Fincar,"2,999","2,999",-,"4,499",-,$-,"1,500",-,"1,500",Fincar,"2,999","2,999",-,"4,499",-,CORRUGADO,ACTIVO
CRRBLANQ4L,CRRBLANQ4L,CORRUAGADO PARA BLANQUEADOR BC 4L,CORRUGADOS LEON,CLARA,Crédito,60,"1,000",8,Pza,$14.21,"15,360.00","45,293","2,000","6,000.00","85,260.00",-,Ok,-,"31,667","51,433.00","47,500","15,500","$220,255.00","14,880","35,933",-,Ok,-,"31,667","36,553.00","47,500",-,$-,"16,368","21,053",-,Fincar,"11,482","31,667","20,185.00","47,500",-,$-,"15,833","4,685","11,148",Fincar,"27,315","31,667","4,351.67","47,500",-,$-,"15,833",-,"15,833",Fincar,"31,667","31,667",-,"47,500",-,$-,"15,833",-,"15,833",Fincar,"31,667","31,667",-,"47,500",-,CORRUGADO,ACTIVO
CRRMPINON5,CRRACEPI5L,CORRUGADO MULT AC PINO BC 5L,CORRUGADOS LEON,CLARA,Crédito,60,"1,000",8,Pza,$13.07,996,"3,442",-,"2,500.00","32,675.00",-,Ok,-,"2,427","4,946.00","3,641",-,$-,996,"4,946",-,Ok,-,"2,427","3,950.00","3,641",-,$-,"1,494","3,950",-,Ok,-,"2,427","2,456.00","3,641",-,$-,"1,214","2,456",-,Fincar,"1,185","2,427","1,242.28","3,641",-,$-,"1,214","1,242",-,Fincar,"2,399","2,427",28.56,"3,641",-,$-,"1,214",29,"1,185",Fincar,"2,427","2,427",-,"3,641",-,CORRUGADO,ACTIVO
CRRBLANQ1L,CRRBLANQ1L,CORRUGADO PARA BLANQUEADOR BC 1L,CORRUGADOS LEON,CLARA,Crédito,60,"1,000",8,Pza,$7.85,"12,896.00","35,878",-,"1,100.00","8,635.00",-,Ok,-,"20,832","32,082.00","31,247","8,000","$62,800.00","9,920","24,082",-,Ok,-,"20,832","22,162.00","31,247",-,$-,"10,912","14,162",-,Fincar,"9,582","20,832","11,250.00","31,247",-,$-,"10,416","3,250","7,166",Fincar,"19,997","20,832",834.21,"31,247",-,$-,"10,416",-,"10,416",Fincar,"20,832","20,832",-,"31,247",-,$-,"10,416",-,"10,416",Fincar,"20,832","20,832",-,"31,247",-,CORRUGADO,ACTIVO
CRRMULPI1L,CRRMULPI1L,CR LIMP AC PINO BC 1L 12 PZ,CORRUGADOS LEON,CLARA,Crédito,60,"1,000",8,Pza,$7.31,829,"3,901",-,"3,100.00","22,661.00",-,Ok,-,"2,999","6,172.00","4,499",-,$-,"1,658","6,172",-,Ok,-,"2,999","4,514.00","4,499",-,$-,"1,658","4,514",-,Fincar,143,"2,999","2,856.00","4,499",-,$-,"1,500","2,856",-,Fincar,"1,643","2,999","1,356.30","4,499",-,$-,"1,500","1,356",143,Fincar,"2,999","2,999",-,"4,499",-,$-,"1,500",-,"1,500",Fincar,"2,999","2,999",-,"4,499",-,CORRUGADO,ACTIVO
CRRSUAVPR5,CRRSUAVPR5,CORRUGADO SUAVIZANTE PRIMAVERAL 5L,CORRUGADOS LEON,CLARA,,,,8,Pza,$13.07,"2,250.00","5,758",-,-,-,-,Ok,-,"3,500","6,008.00","5,250","2,500","$32,675.00","2,250","3,508",-,Ok,-,"3,500","3,758.00","5,250",-,$-,"1,500","1,258",242,Fincar,"1,242","3,500","2,258.00","5,250",-,$-,"1,750",-,"1,750",Fincar,"2,992","3,500",508,"5,250",-,$-,"1,750",-,"1,750",Fincar,"3,500","3,500",-,"5,250",-,$-,"1,750",-,"1,750",Fincar,"3,500","3,500",-,"5,250",-,CORRUGADO,ACTIVO
